0,0,100,5
0,0,120,5
0,0,140,5
0,0,160,7
0,0,180,7
0,4,100,5
0,4,120,5
0,4,140,5
0,4,160,7
0,4,180,7
0,8,100,5
0,8,120,5
0,8,140,5
0,8,160,7
0,8,180,7
0,12,100,5
0,12,120,5
0,12,140,5
0,12,160,7
0,12,180,7
1,0,100,6
1,0,120,6
1,0,140,6
1,0,160,6
1,0,180,1
1,4,100,6
1,4,120,6
1,4,140,6
1,4,160,6
1,4,180,1
1,8,100,6
1,8,120,6
1,8,140,6
1,8,160,6
1,8,180,2
1,12,100,6
1,12,120,6
1,12,140,6
1,12,160,6
1,12,180,2
2,0,100,5
2,0,120,6
2,0,140,6
2,0,160,6
2,0,180,8
2,4,100,5
2,4,120,6
2,4,140,6
2,4,160,6
2,4,180,8
2,8,100,5
2,8,120,6
2,8,140,6
2,8,160,6
2,8,180,8
2,12,100,5
2,12,120,6
2,12,140,6
2,12,160,6
2,12,180,8
3,0,100,9
3,0,120,9
3,0,140,9
3,0,160,9
3,0,180,9
3,4,100,9
3,4,120,9
3,4,140,9
3,4,160,9
3,4,180,9
3,8,100,9
3,8,120,9
3,8,140,9
3,8,160,9
3,8,180,9
3,12,100,9
3,12,120,9
3,12,140,9
3,12,160,9
3,12,180,9
4,0,100,7
4,0,120,7
4,0,140,7
4,0,160,7
4,0,180,7
4,4,100,7
4,4,120,7
4,4,140,7
4,4,160,7
4,4,180,7
4,8,100,7
4,8,120,7
4,8,140,7
4,8,160,7
4,8,180,7
4,12,100,7
4,12,120,7
4,12,140,7
4,12,160,7
4,12,180,7
5,0,100,6
5,0,120,6
5,0,140,7
5,0,160,7
5,0,180,7
5,4,100,6
5,4,120,6
5,4,140,7
5,4,160,7
5,4,180,7
5,8,100,6
5,8,120,6
5,8,140,7
5,8,160,7
5,8,180,7
5,12,100,6
5,12,120,6
5,12,140,7
5,12,160,7
5,12,180,7
6,0,100,6
6,0,120,6
6,0,140,6
6,0,160,7
6,0,180,7
6,4,100,6
6,4,120,6
6,4,140,6
6,4,160,7
6,4,180,7
6,8,100,6
6,8,120,6
6,8,140,6
6,8,160,7
6,8,180,7
6,12,100,6
6,12,120,6
6,12,140,6
6,12,160,7
6,12,180,7
7,0,100,3
7,0,120,3
7,0,140,3
7,0,160,3
7,0,180,3
7,4,100,3
7,4,120,3
7,4,140,3
7,4,160,3
7,4,180,3
7,8,100,3
7,8,120,3
7,8,140,3
7,8,160,3
7,8,180,3
7,12,100,3
7,12,120,3
7,12,140,3
7,12,160,3
7,12,180,3
8,0,100,6
8,0,120,6
8,0,140,6
8,0,160,9
8,0,180,9
8,4,100,6
8,4,120,6
8,4,140,6
8,4,160,9
8,4,180,9
8,8,100,6
8,8,120,6
8,8,140,6
8,8,160,9
8,8,180,9
8,12,100,6
8,12,120,6
8,12,140,6
8,12,160,9
8,12,180,9
9,0,100,8
9,0,120,8
9,0,140,8
9,0,160,8
9,0,180,8
9,4,100,8
9,4,120,8
9,4,140,8
9,4,160,8
9,4,180,8
9,8,100,8
9,8,120,8
9,8,140,8
9,8,160,8
9,8,180,8
9,12,100,8
9,12,120,8
9,12,140,8
9,12,160,8
9,12,180,8
