0:	3
1:	874
2:	86
3:	28
4:	6
5:	2
6:	1
7:	0
8:	0
9:	0
10:	0
11:	0
12:	0
13:	0
14:	0
15:	0
16:	0
17:	0
18:	0
19:	0
Average chain: 1.17
